State,Median Household Income 2015,+
Alabama,44765,
Alaska,73355,
Arizona,51492,
Arkansas,41995,
California,64500,
Colorado,63909,
Connecticut,71346,
Delaware,61255,
Florida,49426,
Georgia,51244,
Hawaii,73486,
Idaho,48275,
Illinois,59588,
Indiana,50532,
Iowa,54736,
Kansas,53906,
Kentucky,45215,
Louisiana,45727,
Maine,51494,
Maryland,75847,
Massachusetts,70628,
Michigan,51084,
Minnesota,63488,
Mississippi,40593,
Missouri,50238,
Montana,49509,
Nebraska,54996,
Nevada,52431,
New Hampshire,70303,
New Jersey,72222,
New Mexico,45382,
New York,60850,
North Carolina,47830,
North Dakota,60557,
Ohio,51075,
Oklahoma,48568,
Oregon,54148,
Pennsylvania,55702,
Rhode Island,58073,
South Carolina,47238,
South Dakota,53017,
Tennessee,47275,
Texas,55653,
Utah,62912,
Vermont,56990,
Virginia,66262,
Washington,64129,
West Virginia,42019,
Wisconsin,55638,
Wyoming,60214,
