State,Value,+
Alabama,1553399,
Alaska,241919,
Arizona,2286469,
Arkansas,984369,
California,14231039,
Colorado,2141650,
Connecticut,1432464,
Delaware,374855,
Florida,7228986,
Georgia,3607481,
Hawaii,522358,
Idaho,573165,
Illinois,5101089,
Indiana,2597301,
Iowa,1302335,
Kansas,1128196,
Kentucky,1561264,
Louisiana,1600227,
Maine,506340,
Maryland,2130656,
Massachusetts,3066913,
Michigan,3649559,
Minnesota,2428259,
Mississippi,887200,
Missouri,2322893,
Montana,368309,
Nebraska,806991,
Nevada,1126000,
New Hampshire,560313,
New Jersey,3377012,
New Mexico,630138,
New York,7757554,
North Carolina,3570352,
North Dakota,344362,
Ohio,4577590,
Oklahoma,1247533,
Oregon,1539002,
Pennsylvania,5061674,
Rhode Island,411409,
South Carolina,1638676,
South Dakota,344529,
Tennessee,2474438,
Texas,9935167,
Utah,1153090,
Vermont,252445,
Virginia,3088706,
Washington,2645930,
West Virginia,547961,
Wisconsin,2441265,
Wyoming,204481,
