State,LGBT Hate Crimes,-
Alabama,2,
Alaska,1,
Arizona,49,
Arkansas,2,
California,188,
Colorado,20,
Connecticut,9,
Delaware,0,
Florida,14,
Georgia,7,
Hawaii,-1,
Idaho,6,
Illinois,16,
Indiana,14,
Iowa,1,
Kansas,8,
Kentucky,19,
Louisiana,5,
Maine,13,
Maryland,7,
Massachusetts,81,
Michigan,51,
Minnesota,31,
Mississippi,-1,
Missouri,8,
Montana,2,
Nebraska,7,
Nevada,17,
New Hampshire,2,
New Jersey ,33,
New Mexico,3,
New York,104,
North Carolina,37,
North Dakota,4,
Ohio,58,
Oklahoma,7,
Oregon,11,
Pennsylvania,11,
Rhode Island,5,
South Carolina,7,
South Dakota ,5,
Tennessee,26,
Texas,41,
Utah,7,
Vermont,2,
Virginia,24,
Washington,57,
West Virginia,6,
Wisconsin,7,
Wyoming,0,
