State,Minimum Wage,+
Alabama ,7.25,
Alaska ,9.8,
Arizona ,10,
Arkansas ,8.5,
California ,10.5,
Colorado ,9.3,
Connecticut ,10.1,
Delaware ,8.25,
Florida ,8.1,
Georgia ,5.15,
Hawaii ,9.25,
Idaho ,7.25,
Illinois,8.25,
Indiana ,7.25,
Iowa ,7.25,
Kansas ,7.25,
Kentucky ,7.25,
Louisiana ,7.25,
Maine ,9,
Maryland ,9.25,
Massachusetts ,11,
Michigan ,8.9,
Minnesota ,9.5,
Mississippi ,7.25,
Missouri ,7.7,
Montana,8.15,
Nebraska ,9,
Nevada ,8.25,
New Hampshire ,7.25,
New Jersey ,8.44,
New Mexico ,7.5,
New York ,9.7,
North Carolina ,7.25,
North Dakota ,7.25,
Ohio ,8.15,
Oklahoma ,7.25,
Oregon ,10.25,
Pennsylvania,7.25,
Rhode Island ,9.6,
South Carolina ,7.25,
South Dakota ,8.65,
Tennessee ,7.25,
Texas ,7.25,
Utah ,7.25,
Vermont ,10,
Virginia ,7.25,
Washington ,11,
West Virginia ,8.75,
Wisconsin ,7.25,
Wyoming,5.15,
