State,Value,-
Alabama,8,
Alaska,7,
Arizona,162,
Arkansas,3,
California,427,
Colorado,65,
Connecticut,62,
Delaware,9,
Florida,44,
Georgia,32,
Hawaii,-1,
Idaho,14,
Illinois,59,
Indiana,43,
Iowa,3,
Kansas,46,
Kentucky,113,
Louisiana,22,
Maine,16,
Maryland,22,
Massachusetts,198,
Michigan,198,
Minnesota,58,
Mississippi,-1,
Missouri,70,
Montana,28,
Nebraska,10,
Nevada,36,
New Hampshire,8,
New Jersey,169,
New Mexico,8,
New York,136,
North Carolina,106,
North Dakota,29,
Ohio,309,
Oklahoma,27,
Oregon,41,
Pennsylvania,40,
Rhode Island,6,
South Carolina,44,
South Dakota,9,
Tennessee,157,
Texas,107,
Utah,29,
Vermont,5,
Virginia,108,
Washington,160,
West Virginia,28,
Wisconsin,27,
Wyoming,2,
